video_name,标注作者,start_time,end_time,description,confidence_score,quality_score,is_repeated,first_end_time,timestamp
Abuse001_x264.mp4,人工,4.0,18.0,视频中发生了暴力抢劫和虐待殴打的犯罪行为。在一个大理石大厅中，一位银色短发、身着白色衣服、黑色裤子的女士正在大厅中央的木桌前阅报，两名犯罪分子从左下角侵入，第一名身穿白色T恤的黑人抢走了女士的红色腰包，第二名身穿黑色T恤的黑人用拳头击打女士的头部，导致女士倒地并痛苦地捂脸，随后坐起。,10.0,8.0,是,23.0,2024-08-29 09:32:28
Abuse001_x264.mp4,LLM,8.0,11.0,"In the video, an act of violent abuse and robbery occurred.A woman with short hair, wearing a white top and black pants, was reading at a table when two men, one in a white shirt and the other in a black shirt, approached her. The man in the white shirt stole a red item from her, while the man in black punched her in the head, causing her to fall and injure herself. The woman then struggles to recover, demonstrating the aftermath of the assault.",,,,,
Abuse002_x264.mp4,人工,2.0,12.0,面包车后备箱打开，被害人从后备箱滚到马路上然后被后车压到车下，后车倒退将被害人从车底放出，面包车上的人下车扶起被害人。,10.0,8.0,否,,2024-08-29 09:46:22
Abuse002_x264.mp4,LLM,2.0,16.0,"A tragic accident occurred in a busy intersection. As the traffic moved, a child fell from the trunk of a silver van, and despite getting up, was subsequently run over by a passing silver car. The van and the car behind it stopped, and a woman from the van and the driver of the silver car rushed to assist. The child was rescued from under the car as other vehicles continued to pass. The incident involved a failure to secure the child and a subsequent response to the emergency by the people nearby.",,,,,
Abuse003_x264.mp4,人工,30.0,114.0,视频发生了虐待的犯罪行为。在楼道走廊中， 穿着紫色短袖T恤扎着马尾的女士推着一个轮椅。轮椅上坐着一个穿着绿色长袖上衣，腿上盖着米色毯子的老人。她推着老人在走廊走了两个来回，期间多次实施了用力将轮椅上的老人前推然后松手放任轮椅上的老人撞墙磕碰和故意推着轮椅上的老人撞墙的行为。老人无明显反应。,9.0,10.0,否,,2024-08-29 10:09:40
Abuse003_x264.mp4,LLM,30.0,153.0,"In the corridor, a woman in black short-sleeves recklessly handled an elderly man in a wheelchair, repeatedly releasing her grip, allowing the wheelchair to collide with walls, causing the old man's head to shake from the impacts. Despite the old man's immobile state, the woman showed no concern or care, exhibiting possible neglect or abuse.",,,,,
Abuse004_x264.mp4,人工,24.0,510.0,"视频描述了虐待殴打的犯罪行为。在一个狭小的房间内，一个穿着紫色上衣灰色长裤的男子A坐在椅子上，两个身穿黑色制服的光头男子B和C打开门，B进入房间拿出棍子对该A进行殴打，A逃向门口方向进行躲避被站在门口的C阻拦,最后A在房间的角落被B用棍子不断抽打，期间C对他进行了踢踹。持续一段时间后A疑似蜷缩在角落，BC时不时对A进行殴打踢踹，期间BC多次轮流去门口查探情况。最后A疑似倒在角落。",8.0,6.0,否,,2024-08-29 10:55:13
Abuse004_x264.mp4,LLM,16.0,38.0,"Severe physical abuse by law enforcement officers is depicted in the video. Inside a confined space, two bald police officers in black uniforms initially interact with a male detainee wearing a blue shirt, gray-green pants, and black sneakers. One officer sprays an unknown substance on the prisoner, who reacts by backing away. The officers then forcefully subdue the prisoner, with one using a stick to violently beat him, while the other assists in restraining and hitting him. The prisoner attempts to resist, but is overpowered and repeatedly assaulted by the officers, leaving him cornered and helpless.",,,,,
Abuse005_x264.mp4,LLM,14.0,30.0,"Abusive behavior occurred inside a prison facility. A prison guard, after entering a room and returning, initiates an aggressive act by kicking a chair. He then attempts to enter a hut but is stopped by another fat guard. The guards forcefully pin a man, whose head is covered with a white plastic bag, onto a table. One guard steps on the man's neck, applying pressure, while other guards watch without intervention.",,,,,
Abuse005_x264.mp4,人工,22.0,30.0,视频中出现了暴力虐待事件，在一个房间内，一个头上套着袋子身穿粉衣的人被两名身穿短袖制服的男人双手反绑，压在桌子上，在他的身后还有一个穿着制服的男人在旁观。视频右下角出现一个穿着同样制服的男子跳上桌子将一只脚踩在他的脖子上,9.0,9.0,否,,2024-08-29 11:09:50
Abuse006_x264.mp4,LLM,11.0,159.0,"This video shows an incident of excessive use of force by police. In a grassy area, a police car arrives and two officers apprehend a man in black clothing. One officer pushes the man to the ground, and soon additional officers join, with one stepping on the man. As more officers surround the prone individual, they proceed to punch and kick him repeatedly. The man is later flipped over and more officers arrive, with some standing guard and others checking on the situation. Eventually, the man is dragged towards a white police car by one officer, while others follow. The duration of the violent act and the number of officers involved indicate a severe case of police brutality.",,,,,
Abuse006_x264.mp4,人工,8.0,146.0,"视频描述了暴力殴打事件，在一个红色建筑旁边，一个穿着长袖长裤的男子站在路边，视频右上方行驶来一辆白车，男子弯腰下蹲，车停下后下来一个人将他推倒在地，另一个人快速上前将他压制。画面中陆续有六人，其中四人将他压住殴打踢踹，将其翻身，疑似搜刮他身上的物品，另外两人旁观后离开。随后视频右上角又行驶来第二辆白车，四人中有三人停止殴打搜刮行为站到一旁，第二辆车上下来的人与他们三个站在一起。接着左上角行驶第三辆白车停下,车上下来两人，和先前离开的两人都走向人群，陆续有两人离开画面,一人去第二辆白车疑似取物后返回。此时有一人将男子拎起，另一人疑似在男子头上套了袋子,那人拎起男子往视频左上方走去",8.0,7.0,否,,2024-08-29 12:05:47
Abuse007_x264.mp4,人工,2.0,7.0,在一个大厅中，一个穿个黑色短袖和黑色长裤的健壮男人A迎面走向一个穿着黑色T恤的男人B，A一拳击中B的头部，B被击倒在地，随后站起,5.0,10.0,否,,2024-08-29 14:24:46
Abuse007_x264.mp4,LLM,0.0,35.0,"An incident of physical abuse occurred in the video.A man in black shorts was slapped to the ground by a tall and muscular man in a black uniform in a corridor. The man in shorts then got up and was escorted by the strong man towards the door, with the strong man pointing and gesturing. The man in shorts looked back at the strong man, and during this time, another individual emerged from a middle door. The strong man appeared to be following both men, but eventually turned and walked in the opposite direction, while the man in shorts, noticing his broken shoe, continued following at a distance.",,,,,
Abuse008_x264.mp4,LLM,225.0,250.0,"Abusive behavior occurred during a police search. A female officer searched a detainee, who later found and removed a red object from her clothes. The woman was forcefully pushed back into the cell, falling and hitting her head. Policemen intervened, with one assisting the woman, while others entered and exited the scene, attending to the woman's condition and cleaning her face.",,,,,
Abuse008_x264.mp4,人工,147.0,155.0,视频中发生了暴力推搡事件，一名身穿蓝色上衣黑色裤子的年轻女子被一个穿着黑色制服的人从背后大力推进一个狭小房间内，头部磕到房间的床上以后滑落在地倒地不起。,9.0,9.0,否,,2024-08-29 14:33:58
Abuse009_x264.mp4,LLM,8.0,27.0,"Child abuse and physical altercation occurred in the video. At night, a group of men gathered around a street bulletin board, while another man stood across from them, holding a child. The man violently threw the child to the ground, picked it up again, and used the child as a weapon to collide forcefully with one of the men in the group. A struggle ensued between the two men over the child, resulting in one of them eventually slamming the child onto the ground once more before rushing towards a crowd.",,,,,
Abuse009_x264.mp4,人工,8.0,22.0,"视频中发生了虐待行为，在开阔的室外，一个身穿黑色短袖上衣白色短裤的女人抱着一个孩子，然后将手臂平举，将孩子扔在地上,接着又抱起孩子走向一男子将孩子高举疑似用孩子砸该男子,两人争夺孩子。",8.0,8.0,是,22.0,2024-08-29 14:43:17
Abuse010_x264.mp4,人工,3.0,10.0,视频中发生了一个交通意外事件。在道路上一辆轿车正在行驶，在拐弯时从视频左下角窜出一只黑色小狗，小狗被轿车碾压，轿车驶离，小狗抽搐后死亡,9.0,10.0,否,,2024-08-29 14:50:59
Abuse010_x264.mp4,LLM,2.0,14.0,"Animal Cruelty incident occurred on the road. Two puppies were crossing the road, one was hit by a silver car and the driver did not stop. The injured puppy struggled on the ground while the other dog initially tried to help but eventually left. A curly-haired woman in shorts intervened, signaling to other vehicles and rescuing the motionless puppy, taking it away with her. Another puppy followed, seemingly concerned about its companion.",,,,,
Abuse011_x264.mp4,LLM,9.0,57.0,"Severe physical abuse occurred in the video. A man repeatedly assaulted a woman outside a house, pulling her hair, pushing her down the stairs, and threatening her with a punch. The woman attempted to resist and defend herself, but was forced to the ground and struggled to get up. At times, they were both on the ground, and the man prevented her from going upstairs. A black Doberman pinscher appeared, and the man interacted with the dog before leaving and returning, continuing to disrupt the woman's efforts to ascend the stairs. Eventually, the woman managed to go up the stairs with the dog, only to be pushed down again by the man.",,,,,
Abuse011_x264.mp4,人工,9.0,56.0,"视频展示了暴力殴打虐待的犯罪行为。在楼梯间，一个穿着长袖长裤的男人把一个穿着背心短裤的女人从房间拖出来,他拉着女人的头发，女人面朝下趴在地上被他从房间拖到楼梯间，在挣扎无果后被他头朝下从楼梯上扔了下去，男人进入房间。她从楼梯滚下，背部撞击墙面，躺了一会后站前，男人从楼梯走下来推搡拉扯她.她坐在地上，男人抓住她的头发拉着她在走廊拖行,女人踢他，挣扎开以后他试图抓住女人的腿。女人站前走上楼梯，他抓住女人的衣服和头发将女人拽下楼梯几度推搡,女人倒在楼梯后他上了楼梯进入房间，随后女人也站起来虚弱的上了楼梯。男人从房间冲出来推倒女人,s随后进入房间，女人后仰摔下楼梯，身体砸在地面。",9.0,9.0,否,,2024-08-29 15:12:07
Abuse012_x264.mp4,人工,10.0,154.0,"在一个摆放多张婴儿床的室内，一个身穿桃红色T恤的黑发女人用拳头多次捶打一个躺在婴儿床上的婴儿的头部并用奶瓶给他喂奶，接着又多次捶打婴儿的身体。将他抱起擦脸后单手拎着婴儿摇晃。随后将婴儿放入床内再次用拳头捶打婴儿头部,疑似用双手掐住婴儿。",8.0,5.0,否,,2024-08-29 15:25:04
